domain,record_type,ip_address
0x00.ws,A,204.168.221.162
0x00.ws,AAAA,2a01:4f9:c014:ec71::1
0xxx.ws,A,203.0.113.250
0xxx.ws,AAAA,2001:db8:1000::fa
1080hd.ws,A,64.70.19.203
1word.ws,A,104.21.37.144
1word.ws,A,172.67.209.108
1word.ws,AAAA,2606:4700:3034::6815:2590
1word.ws,AAAA,2606:4700:3037::ac43:d16c
24open.ws,A,64.70.19.203
2baksa.ws,A,203.0.113.250
2baksa.ws,AAAA,2001:db8:1000::fa
300mbfilms.ws,A,203.0.113.250
300mbfilms.ws,AAAA,2001:db8:1000::fa
33win1.ws,A,172.234.24.211
33win1.ws,A,172.239.57.117
4patientcare.ws,A,34.82.104.215
808ne.ws,A,67.199.248.12
85b6b2.ws,A,89.42.231.152
8844.ws,A,64.70.19.203
91md.ws,A,148.135.11.18
abc7ne.ws,A,75.2.120.88
abc7ne.ws,A,99.83.235.193
abcn.ws,A,184.73.156.246
abdwap.ws,A,162.255.119.89
abnormal.ws,A,172.237.146.18
abnormal.ws,A,172.237.146.39
abnormal.ws,A,172.237.146.46
accorhotels.ws,A,194.51.187.52
acsa.ws,A,13.248.169.48
acsa.ws,A,76.223.54.146
adapt.ws,A,34.168.176.109
adis.ws,A,46.137.162.251
adultload.ws,A,203.0.113.250
adultload.ws,AAAA,2001:db8:1000::fa
adultsex.ws,A,203.0.113.250
adultsex.ws,AAAA,2001:db8:1000::fa
adx.ws,A,104.26.2.54
adx.ws,A,104.26.3.54
adx.ws,A,172.67.69.59
adx.ws,AAAA,2606:4700:20::681a:236
adx.ws,AAAA,2606:4700:20::681a:336
adx.ws,AAAA,2606:4700:20::ac43:453b
afast.ws,A,172.105.200.187
afcnwdmxfdi.ws,A,64.70.19.203
aglog.ws,A,64.70.19.203
alashraf.ws,A,172.241.213.96
aliciliba.ws,A,208.115.249.234
aliyun.ws,A,64.70.19.203
allsport.ws,A,64.70.19.203
alo789.ws,A,104.21.77.75
alo789.ws,A,172.67.205.97
alo789.ws,AAAA,2606:4700:3031::ac43:cd61
alo789.ws,AAAA,2606:4700:3035::6815:4d4b
android-zone.ws,A,104.21.14.157
android-zone.ws,A,172.67.203.206
android-zone.ws,AAAA,2606:4700:3031::ac43:cbce
android-zone.ws,AAAA,2606:4700:3036::6815:e9d
animeflv.ws,A,208.115.249.236
animesonline.ws,A,64.70.19.203
anon.ws,A,37.1.207.149
apne.ws,A,184.73.156.246
apnl.ws,A,104.26.2.209
apnl.ws,A,104.26.3.209
apnl.ws,A,172.67.71.88
apnl.ws,AAAA,2606:4700:20::681a:2d1
apnl.ws,AAAA,2606:4700:20::681a:3d1
apnl.ws,AAAA,2606:4700:20::ac43:4758
arpsel.ws,A,157.90.131.201
arpsel.ws,AAAA,2a01:4f8:252:4568:2::10
artbbs.ws,A,203.0.113.250
artbbs.ws,AAAA,2001:db8:1000::fa
artmax.ws,A,64.70.19.203
artofbeauty.ws,A,104.21.61.90
artofbeauty.ws,A,172.67.207.252
artofbeauty.ws,AAAA,2606:4700:3036::ac43:cffc
artofbeauty.ws,AAAA,2606:4700:3037::6815:3d5a
autorepairmanuals.ws,A,103.255.236.124
avaxhome.ws,A,203.0.113.250
avaxhome.ws,AAAA,2001:db8:1000::fa
azartplay.ws,A,64.70.19.203
baku.ws,A,104.20.20.20
baku.ws,A,172.66.156.189
baku.ws,AAAA,2606:4700:10::6814:1414
baku.ws,AAAA,2606:4700:10::ac42:9cbd
banknote.ws,A,92.205.213.216
banknote.ws,AAAA,2a00:1169:103:5490::
bash.ws,A,94.130.181.15
bash.ws,AAAA,2a01:4f8:1c0c:4109::1
bayareane.ws,A,67.199.248.12
bayareane.ws,A,67.199.248.13
bemaniso.ws,A,104.21.31.118
bemaniso.ws,A,172.67.176.125
bemaniso.ws,AAAA,2606:4700:3031::6815:1f76
bemaniso.ws,AAAA,2606:4700:3033::ac43:b07d
bestrevie.ws,A,184.33.2.245
bestrevie.ws,A,52.34.183.217
bestrevie.ws,A,52.34.219.63
betteranime.ws,A,208.115.249.236
bflixz.ws,A,203.0.113.250
bflixz.ws,AAAA,2001:db8:1000::fa
bigo.ws,A,51.75.253.15
boeken.ws,A,104.21.52.128
boeken.ws,A,172.67.199.135
boeken.ws,AAAA,2606:4700:3034::6815:3480
boeken.ws,AAAA,2606:4700:3035::ac43:c787
boerger.ws,A,54.253.94.210
boerger.ws,AAAA,2406:da1c:cc9:3500::258
bunkr.ws,A,104.21.87.226
bunkr.ws,A,172.67.147.47
bunkr.ws,AAAA,2606:4700:3031::6815:57e2
bunkr.ws,AAAA,2606:4700:3035::ac43:932f
businessregistries.gov.ws,A,13.237.108.188
businessregistries.gov.ws,A,52.65.168.77
busybeavertraffic.ws,A,64.70.19.203
buta.ws,A,104.21.30.175
buta.ws,A,172.67.173.123
buta.ws,AAAA,2606:4700:3031::6815:1eaf
buta.ws,AAAA,2606:4700:3032::ac43:ad7b
caiunanet.ws,A,203.0.113.250
caiunanet.ws,AAAA,2001:db8:1000::fa
calico.ws,A,116.255.5.183
camwhores.ws,A,203.0.113.250
camwhores.ws,AAAA,2001:db8:1000::fa
catcasino.ws,A,64.70.19.34
cbox.ws,A,195.201.153.71
cbsn.ws,A,67.199.248.12
cbsn.ws,A,67.199.248.13
ccad.ws,A,104.21.26.67
ccad.ws,A,172.67.135.151
ccad.ws,AAAA,2606:4700:3030::ac43:8797
ccad.ws,AAAA,2606:4700:3031::6815:1a43
cdak.ws,A,64.70.19.34
cduniverse.ws,A,172.234.24.211
cduniverse.ws,A,172.239.57.117
celektor.ws,A,64.70.19.203
cima4u.ws,A,203.0.113.250
cima4u.ws,AAAA,2001:db8:1000::fa
cluster.ws,A,104.21.4.142
cluster.ws,A,172.67.154.32
cluster.ws,AAAA,2606:4700:3031::ac43:9a20
cluster.ws,AAAA,2606:4700:3036::6815:48e
cmac.ws,A,104.248.118.35
cnpj.ws,A,76.76.21.21
coloring.ws,A,104.21.51.152
coloring.ws,A,172.67.182.21
coloring.ws,AAAA,2606:4700:3033::ac43:b615
coloring.ws,AAAA,2606:4700:3037::6815:3398
comercial.ws,A,186.202.157.79
compromat.ws,A,203.0.113.250
compromat.ws,AAAA,2001:db8:1000::fa
conexo.ws,A,199.36.158.100
conf.ws,A,104.21.13.129
conf.ws,A,172.67.200.14
conf.ws,AAAA,2606:4700:3032::6815:d81
conf.ws,AAAA,2606:4700:3036::ac43:c80e
control-panel.ws,A,77.90.25.150
control-panel.ws,A,89.36.32.132
control-panel.ws,A,94.130.200.163
control-panel.ws,AAAA,2a01:4f8:13b:2390::2
control-panel.ws,AAAA,2a0e:b107:27f9:1011::1
control-panel.ws,AAAA,2a0e:b107:27fe::3
control-panel.ws,AAAA,2a0e:b107:27fe::4
control-panel.ws,AAAA,2a14:6781:1:3f::2
cont.ws,A,93.189.147.78
cp101.ws,A,64.31.3.237
cpcs.ws,A,88.99.161.88
crackstreams.ws,A,104.21.12.207
crackstreams.ws,A,172.67.132.103
crackstreams.ws,AAAA,2606:4700:3031::ac43:8467
crackstreams.ws,AAAA,2606:4700:3036::6815:ccf
crypto-bank.ws,A,15.197.240.20
cryptocards.ws,A,104.18.39.18
cryptocards.ws,A,172.64.148.238
cryptocards.ws,AAAA,2606:4700:440b::6812:2712
cryptocards.ws,AAAA,2606:4700:440b::ac40:94ee
cuevana-3.ws,A,203.0.113.250
cuevana-3.ws,AAAA,2001:db8:1000::fa
cwer.ws,A,203.0.113.250
cwer.ws,AAAA,2001:db8:1000::fa
cwlservices.ws,A,64.70.19.203
cxyescrb.ws,A,64.70.19.203
cybermania.ws,A,203.0.113.250
cybermania.ws,AAAA,2001:db8:1000::fa
cyberpirate.ws,A,203.0.113.250
cyberpirate.ws,AAAA,2001:db8:1000::fa
dcim.ws,A,112.213.32.83
ddnb.ws,A,104.21.38.235
ddnb.ws,A,172.67.140.199
delotor.ws,A,64.70.19.203
desperate-housewives.ws,A,203.0.113.250
desperate-housewives.ws,AAAA,2001:db8:1000::fa
dino.ws,A,104.21.93.79
dino.ws,A,172.67.207.77
dino.ws,AAAA,2606:4700:3035::6815:5d4f
dino.ws,AAAA,2606:4700:3036::ac43:cf4d
dlvr.ws,A,15.197.148.33
dlvr.ws,A,3.33.130.190
dndnha.ws,A,104.21.52.93
dndnha.ws,A,172.67.197.145
dndnha.ws,AAAA,2606:4700:3030::ac43:c591
dndnha.ws,AAAA,2606:4700:3035::6815:345d
dood.ws,A,162.19.86.186
